id,name,resource_type,status,address_street1,address_street2,city,state,zip_code,latitude,longitude,timezone,distance_miles,phone,website,open_by_appointment,is_open_now,next_open,next_confirmed,upcoming_occurrences,usage_limit,usage_calendar_reset,tags,confidence,rating_average,review_count,subscriber_count,image_url,description,description_es
109,BRC Homeless Senior Services,SOUP_KITCHEN,PUBLISHED,30 Delancey St,,New York,NY,10002,40.7203881,-73.9922313,America/New_York,0.89,(212) 533-2020,https://www.brc.org/services-for-older-adults,False,False,2026-03-13T15:45:00+00:00,False,"[{""start"": ""2026-03-13T15:45:00+00:00"", ""end"": ""2026-03-13T16:15:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T15:45:00+00:00"", ""end"": ""2026-03-16T16:15:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-17T15:45:00+00:00"", ""end"": ""2026-03-17T16:15:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-18T15:45:00+00:00"", ""end"": ""2026-03-18T16:15:00+00:00"", ""confirmed"": false}]",,False,"ID required, Seniors only",0.78,,0,1,https://lemontree-feed-photos.s3.amazonaws.com/l2wplxmzlekehb9v0z9shss7.jpg,,
ckz295ewx1729483jy3xw8oyubv,The Bowery Mission,SOUP_KITCHEN,PUBLISHED,227 Bowery,,New York,NY,10002,40.7219563,-73.9928051,America/New_York,0.94,(212) 674-3456,https://nycrescue.org,False,False,2026-03-13T12:00:00+00:00,False,"[{""start"": ""2026-03-13T12:00:00+00:00"", ""end"": ""2026-03-13T13:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-13T13:00:00+00:00"", ""end"": ""2026-03-13T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-13T17:00:00+00:00"", ""end"": ""2026-03-13T18:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-13T21:30:00+00:00"", ""end"": ""2026-03-13T22:30:00+00:00"", ""confirmed"": false}]",,False,,1.0,2.2727272727272725,13,43,https://lemontree-feed-photos.s3.amazonaws.com/ixpg2ttdijbyjcfop9d388uh.png,,
cm571mzkq00wp1h1wmkta9a52,Primitive Christian Church,FOOD_PANTRY,PUBLISHED,207-209 East Broadway,,New York,NY,10002,40.714022,-73.987782,America/New_York,0.96,(646) 626-9748,https://www.primitivechurch.org,False,False,2026-03-26T13:00:00+00:00,False,"[{""start"": ""2026-03-26T13:00:00+00:00"", ""end"": ""2026-03-26T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-30T13:00:00+00:00"", ""end"": ""2026-04-30T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-05-28T13:00:00+00:00"", ""end"": ""2026-05-28T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-06-25T13:00:00+00:00"", ""end"": ""2026-06-25T16:00:00+00:00"", ""confirmed"": false}]",,False,"ID required, First come, first serve: open until food runs out",0.79,2.4,6,19,https://lemontree-feed-photos.s3.amazonaws.com/btajrzn3r6ifpi20i39f82cm.png,,
1438,Vision Urbana Inc.,FOOD_PANTRY,PUBLISHED,66 Essex Street,,New York,NY,10002,40.7173399,-73.98842379999999,America/New_York,0.97,(646) 626-9748,https://www2.visionurbana.org/,False,False,2026-03-16T14:00:00+00:00,False,"[{""start"": ""2026-03-16T14:00:00+00:00"", ""end"": ""2026-03-16T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-23T14:00:00+00:00"", ""end"": ""2026-03-23T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-30T14:00:00+00:00"", ""end"": ""2026-03-30T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-06T14:00:00+00:00"", ""end"": ""2026-04-06T16:00:00+00:00"", ""confirmed"": false}]",,False,Seniors only,0.97,3.0,5,50,https://lemontree-feed-photos.s3.amazonaws.com/vo9zhfk4635m9bydi59onyjd.jpg,"sign-up to volunteer here: https://network.visionurbana.org/volunteer
or email eric@visionurbana.org for volunteer opportunities
Seniors only",
1475,UA3 Community First Food Pantry,FOOD_PANTRY,PUBLISHED,384 Grand Street,,New York,NY,10002,40.716499,-73.987648,America/New_York,0.99,(917) 697-2842,Ua3now.org,False,False,2026-03-16T15:00:00+00:00,False,"[{""start"": ""2026-03-16T15:00:00+00:00"", ""end"": ""2026-03-16T17:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-19T15:00:00+00:00"", ""end"": ""2026-03-19T17:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-23T15:00:00+00:00"", ""end"": ""2026-03-23T17:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-26T15:00:00+00:00"", ""end"": ""2026-03-26T17:00:00+00:00"", ""confirmed"": false}]",,False,"ID required, Seniors only, Appointments required, Schedule appointment through Plentiful app",0.98,2.125,10,16,https://lemontree-feed-photos.s3.amazonaws.com/n7l1x8q1kqtlzesqjkrtrjxa.jpg,,
1029,University Settlement Senior Center,FOOD_PANTRY,PUBLISHED,189 Allen St,,New York,NY,10002,40.7223013,-73.9893848,America/New_York,1.09,(212) 453-4500,https://www.universitysettlement.org/us/programs/older_adults/neighborhood_center/,False,False,2026-03-25T13:00:00+00:00,False,"[{""start"": ""2026-03-25T13:00:00+00:00"", ""end"": ""2026-03-25T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-30T13:00:00+00:00"", ""end"": ""2026-03-30T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-27T13:00:00+00:00"", ""end"": ""2026-04-27T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-29T13:00:00+00:00"", ""end"": ""2026-04-29T16:00:00+00:00"", ""confirmed"": false}]",,False,,0.89,3.0,1,10,https://lemontree-feed-photos.s3.amazonaws.com/cbgcp4pj8r13wp3h7kwipoiw.jpg,,
cloh7ekoh0v7ko20fkkua5ksd,Henry Street Settlement's Meals on Wheels,SOUP_KITCHEN,PUBLISHED,265 Henry Street,,New York,NY,10002,40.7140074,-73.9845201,America/New_York,1.13,(212) 473-1474,henrystreet.org,False,False,,,[],,False,Seniors only,0.56,,0,3,https://lemontree-feed-photos.s3.amazonaws.com/a3nm68pqqtgf735bha2eskhs.jpg,Call the given number so see if you qualify. The timing will be shared accordingly,Llame al número indicado para ver si califica. El tiempo se compartirá en consecuencia.
412,Grand Street Guild ,FOOD_PANTRY,PUBLISHED,410 Grand  St,,New York,NY,10002,40.71657981269584,-73.9848675598801,America/New_York,1.14,(646) 984-0167,https://grandstreetguild.org,False,False,2026-03-18T18:00:00+00:00,False,"[{""start"": ""2026-03-18T18:00:00+00:00"", ""end"": ""2026-03-18T22:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-25T18:00:00+00:00"", ""end"": ""2026-03-25T22:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-01T18:00:00+00:00"", ""end"": ""2026-04-01T22:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-08T18:00:00+00:00"", ""end"": ""2026-04-08T22:00:00+00:00"", ""confirmed"": false}]",1 per 1 MONTH,False,"ID required, Registration required",0.87,2.0,3,16,https://lemontree-feed-photos.s3.amazonaws.com/bsb4t3q8xkjxi8ewxemz9ptu.png,"Serves 460 Grand street
131 Grand street
410 Grand strret
165 Bloom Street",
ckz3zkhwg15892242057tttt472,Lower Manhattan Food Not Bombs,SOUP_KITCHEN,PUBLISHED,36 East 1st Street,,New York,NY,10003,40.7241593,-73.9900964,America/New_York,1.14,(212) 254-1640,https://wck.org/news/ny-nj,False,False,2026-03-13T13:30:00+00:00,False,"[{""start"": ""2026-03-13T13:30:00+00:00"", ""end"": ""2026-03-13T14:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T13:30:00+00:00"", ""end"": ""2026-03-16T14:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-17T13:30:00+00:00"", ""end"": ""2026-03-17T14:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-18T13:30:00+00:00"", ""end"": ""2026-03-18T14:00:00+00:00"", ""confirmed"": false}]",,False,"Diapers/baby essentials may be available, Clothing may be available",0.87,3.0,4,5,https://lemontree-feed-photos.s3.amazonaws.com/nm4ukvv2lcre2h08n8lvcavr.jpg,,
1016,Met Council - UJC of the East Side,FOOD_PANTRY,PUBLISHED,15-17 Willett St/Bialystoker Pl,,New York,NY,10002,40.7158448,-73.9832935,America/New_York,1.21,(212) 475-3857,https://ujceastside.org/food-assistance-nyc,False,False,2026-03-13T13:00:00+00:00,False,"[{""start"": ""2026-03-13T13:00:00+00:00"", ""end"": ""2026-03-13T17:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T13:00:00+00:00"", ""end"": ""2026-03-16T17:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-17T13:00:00+00:00"", ""end"": ""2026-03-17T17:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-18T13:00:00+00:00"", ""end"": ""2026-03-18T17:30:00+00:00"", ""confirmed"": false}]",1 per 1 MONTH,False,"Registration required, Diapers/baby essentials may be available, Kosher food available",0.88,2.5,10,11,https://lemontree-feed-photos.s3.amazonaws.com/tt96vahksuf5te8zkbjgdne1.jpg,"* Registration required: can be made online or by going to the food pantry location. Number of household including names and date or birth may be asked.
* Delivery is available for handicapped or seniors who has a hard time walking, please call 212-475-3857.
* Closed during Jewish holidays
* Serves Kosher foods (mostly perishable foods)
* Clients can visit once a month",
451,Hebrew Union College-Jewish Institute of Religion,SOUP_KITCHEN,PUBLISHED,1 W 4th St,,New York,NY,10012,40.7287795,-73.9946946,America/New_York,1.25,(212) 674-5300,http://huc.edu/,False,False,2026-03-16T21:00:00+00:00,False,"[{""start"": ""2026-03-16T21:00:00+00:00"", ""end"": ""2026-03-16T21:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-23T21:00:00+00:00"", ""end"": ""2026-03-23T21:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-30T21:00:00+00:00"", ""end"": ""2026-03-30T21:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-06T21:00:00+00:00"", ""end"": ""2026-04-06T21:00:00+00:00"", ""confirmed"": false}]",,False,"First come, first serve: open until food runs out",0.72,,0,4,https://lemontree-feed-photos.s3.amazonaws.com/lu3jfcm1nkpt5wmfctt46ju9.jpg,,
clnnm16mv01g1s50fsrnvtequ,First Presbyterian Church of Brooklyn,FOOD_PANTRY,PUBLISHED,124 Henry Street,,Brooklyn Heights,NY,11201,40.69703490000001,-73.9937004,America/New_York,1.27,(718) 624-3770,https://www.instagram.com/p/CzrUFSPuARE/,False,False,2026-03-19T13:00:00+00:00,False,"[{""start"": ""2026-03-19T13:00:00+00:00"", ""end"": ""2026-03-19T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-26T13:00:00+00:00"", ""end"": ""2026-03-26T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-02T13:00:00+00:00"", ""end"": ""2026-04-02T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-09T13:00:00+00:00"", ""end"": ""2026-04-09T15:00:00+00:00"", ""confirmed"": false}]",,False,,0.84,2.0,2,12,https://lemontree-feed-photos.s3.amazonaws.com/gaowzihbhmwxltgorxneg3mo.png,,
cmi2ay9000pe004e861cg1knx,Greenwich House Center on the Square,SOUP_KITCHEN,PUBLISHED,20 Washington Square North,,New York,NY,10012,40.7306519,-73.9997259,America/New_York,1.28,,https://greenwichhouse.org/network-of-older-adult-centers/meal-programs/,False,False,2026-03-13T16:00:00+00:00,False,"[{""start"": ""2026-03-13T16:00:00+00:00"", ""end"": ""2026-03-13T18:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T16:00:00+00:00"", ""end"": ""2026-03-16T18:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-17T16:00:00+00:00"", ""end"": ""2026-03-17T18:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-18T16:00:00+00:00"", ""end"": ""2026-03-18T18:00:00+00:00"", ""confirmed"": false}]",,False,,0.66,,0,1,https://lemontree-feed-photos.s3.amazonaws.com/jz7f6qtvurel2g9g7f5q66qt.png,"Located in the heart of Greenwich Village, Greenwich House Center on the Square is a vibrant older adult center offering nutritious lunch meals, wellness programs, and a welcoming community for New Yorkers ages 60 and up. Operated by Greenwich House, the Center provides a safe and social environment where members can enjoy hot lunches, connect with peers, and access support that promotes healthy aging.

In addition to week day congregate lunch meals, Center on the Square offers health and fitness classes, arts and cultural programming, social services, and opportunities to stay active and engaged. Membership is free for adults 60+, and meals are available on a suggested contribution basis—no one is turned away for inability to pay.

Center on the Square is open Monday–Friday and is an important neighborhood resource for older adults seeking wellness, creativity, and connection.",
clo5u9h1r05ausa0fssndilv2,Brooklyn Heights Community Friendly Fridge,COMMUNITY_FRIDGE,PUBLISHED,125 Henry Street,,Brooklyn Heights,NY,11201,40.696712,-73.9930577,America/New_York,1.3,,https://www.instagram.com/p/CrVjtNMuO8W/?igshid=MzRlODBiNWFlZA%3D%3D,False,False,,,[],,False,,0.69,,0,1,https://lemontree-feed-photos.s3.amazonaws.com/y89bta8s20gtbo68v42fn4sv.png,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.",
853,Our Lady Of Sorrows (CCCS),FOOD_PANTRY,PUBLISHED,103 Pitt St,,New York,NY,10002,40.7194735,-73.98238429999999,America/New_York,1.32,(646) 886-9854,https://olsnyc.org/contact-us,False,False,2026-03-17T12:00:00+00:00,False,"[{""start"": ""2026-03-17T12:00:00+00:00"", ""end"": ""2026-03-17T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-19T12:00:00+00:00"", ""end"": ""2026-03-19T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-24T12:00:00+00:00"", ""end"": ""2026-03-24T15:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-26T12:00:00+00:00"", ""end"": ""2026-03-26T15:00:00+00:00"", ""confirmed"": false}]",1 per 1 MONTH,False,"ID required, Proof of address required, Appointments required",0.7,2.6666666666666665,10,17,https://lemontree-feed-photos.s3.amazonaws.com/hbe0qpnpe1z7zwo7fxfxcy48.jpg,"Call Mondays or Wednesdays between 10am and 4 pm, to make an appointment.","Llame los Lunes o Miércoles entre las 10 am y las 4 pm, para hacer una cita."
805,"Nazareth Housing Inc., Louise's Pantry, Lower East Side",FOOD_PANTRY,PUBLISHED,206 E 4th St,,New York,NY,10009,40.72365689999999,-73.9842426,America/New_York,1.36,(646) 713-2681,https://nazarethhousingnyc.org/louises-pantry/,False,False,2026-03-17T12:00:00+00:00,False,"[{""start"": ""2026-03-17T12:00:00+00:00"", ""end"": ""2026-03-17T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-24T12:00:00+00:00"", ""end"": ""2026-03-24T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-31T12:00:00+00:00"", ""end"": ""2026-03-31T16:00:00+00:00"", ""confirmed"": false}, {""start"": ""2026-04-07T12:00:00+00:00"", ""end"": ""2026-04-07T16:00:00+00:00"", ""confirmed"": false}]",,False,"ID required, Registration required, Schedule appointment through Plentiful app",0.99,3.0,7,43,https://lemontree-feed-photos.s3.amazonaws.com/sjh5fhn6nvwxkonasy819zbo.jpg,Registration at Haven Plaza office at 200 Avenue C is required,Es necesario registrarse en la oficina de Haven Plaza en 200 Avenue C.
cm57240v800xgzw0vxcqkdv5u,The Hetrick-Martin Institute,FOOD_PANTRY,PUBLISHED,2 Astor Place,,New York,NY,10003,40.7298834,-73.992583,America/New_York,1.37,(212) 674-2400,www.hmi.org,False,False,2026-03-12T19:30:00+00:00,False,"[{""start"": ""2026-03-12T19:30:00+00:00"", ""end"": ""2026-03-12T23:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-13T19:30:00+00:00"", ""end"": ""2026-03-13T23:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-16T19:30:00+00:00"", ""end"": ""2026-03-16T23:30:00+00:00"", ""confirmed"": false}, {""start"": ""2026-03-17T19:30:00+00:00"", ""end"": ""2026-03-17T23:30:00+00:00"", ""confirmed"": false}]",,False,"ID required, Registration required",0.71,,2,8,https://lemontree-feed-photos.s3.amazonaws.com/mgsd3z70kvkssicajv51lgo5.png,serves ages 13 to 24.  serves a dinner as well everyday ,
